PLAY_#,ODK,DN,DIST,HASH,YARD_LN,PLAY_TYPE,RESULT,OFF_FORM,OFF_PLAY,PLAY_DIR,DEF_FRONT,COVERAGE,BLITZ,QTR,GN/LS,GAME,YARDS,UNIT,SERIES,OFF_STR,GAP,DEF_STR,KICK_YARDS,RET_YARDS,PENALTY,2_MIN,TEAM,OPP_TEAM,PASS_ZONE,PERSONNEL,MOTION,MOTION_DIR,PASSER_JERSEY,PASSER_NAME,RECEIVER_JERSEY,RECEIVER_NAME,TACKLER1_JERSEY,TACKLER1_NAME,TACKLER2_JERSEY,TACKLER2_NAME,RUSHER_JERSEY,RUSHER_NAME,KEY_PLAYER_JERSEY,KEY_PLAYER_NAME,BACKFIELD,EFF,RETURNER_JERSEY,RETURNER_NAME,KICKER_JERSEY,KICKER_NAME,RECOVERED_BY_JERSEY,RECOVERED_BY_NAME,INTERCEPTED_BY_JERSEY,INTERCEPTED_BY_NAME,OPP_RUSHER,OPP_PASSER,OPP_RECEIVER,OPP_TACKLER1,OPP_TACKLER2,OPP_RETURNER,OPP_KICKER,OPP_RECOVERED_BY,OPP_INTERCEPTED_BY,PROTECTION,TAG,NOTE,COMMENT,STR_CALL,WK_CALL,DRILL,STUNT,BALL_CARRIER,STR_ROUTES,WK_ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD_/_BOUNDARY,Y/N,DUG_BACKFIELD,DUG_FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION_STRENGTH,FSL,SHIFT,RUN_STRENGTH,PASS_ROUTE,PASS_CHART,PASS_RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN_YARDS,POSITIVE,CRITICISM,OFFENSIVE_FORMATIONS
11.0,O,3.0,6.0,R,20.0,Run,Rush,WISCONSIN RED,,R,,,,1.0,7.0,CCC,7.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,O,1.0,10.0,R,13.0,Run,Rush,Wyoming brown,,L,,,,1.0,4.0,CCC,4.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,O,2.0,6.0,L,9.0,Pass,Complete,WISCONSIN RED,,L,,,,1.0,4.0,CCC,4.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,O,3.0,2.0,L,5.0,Run,Penalty,Wyoming brown,,R,,,,1.0,-6.0,CCC,-6.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,O,3.0,8.0,R,11.0,Pass,"Complete, TD",Wyoming brown,,L,,,,1.0,11.0,CCC,11.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,K,,,M,3.0,Extra Pt.,Good,,,,,,,1.0,,CCC,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,K,,,M,-40.0,KO,Return,,,,,,,1.0,,CCC,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,D,1.0,10.0,L,-35.0,Pass,Incomplete,IOWA BLACK,,L,,,,1.0,0.0,CCC,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,D,2.0,10.0,L,-35.0,Pass,Complete,IOWA BLACK,,R,,,,1.0,5.0,CCC,5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,D,3.0,5.0,R,-40.0,Pass,Complete,IOWA BLACK,,R,,,,1.0,7.0,CCC,7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
